   ;ACM ;ACP ;AFC ;AFM ;Classification
indice;0;1;0;1;7
intérêt;1;0;1;3;4
khi²;0;0;9;0;0
loi;0;2;0;0;7
niveau;2;2;0;1;4
notion;1;3;4;0;1
personnes;1;0;7;1;0
phi²;0;0;9;0;0
relative;1;0;1;7;0
revenir;1;5;1;2;0
simplement;3;1;4;0;1
vecteur;0;7;0;2;0
ajuster;5;3;0;0;0
bas;3;1;0;0;4
bloc;2;0;6;0;0
burt;8;0;0;0;0
choix;3;0;0;1;4
coupure;0;0;0;0;8
diagramme;1;1;1;0;5
euclidienne;0;0;2;0;6
exposé;0;1;2;1;4
marge;4;0;3;1;0
minimum;0;0;2;0;6
nature;0;1;5;2;0
normal;0;3;0;1;4
raison;3;0;3;1;1
rang;0;0;8;0;0
recherche;5;1;0;2;0
rôle;1;0;4;0;3
situation;2;0;5;1;0
statistique;2;5;0;0;1
tirage;0;0;0;0;8
année;0;3;0;4;0
apparaître;3;0;1;3;0
appelé;0;0;4;1;2
décroissance;1;0;3;2;1
double;3;0;4;0;0
géométrique;0;3;4;0;0
lambda;0;0;7;0;0
logiciel;4;2;0;1;0
normer;1;2;1;3;0
notations;0;0;5;1;1
prochaine;2;2;2;1;0
produit;0;4;2;1;0
proximité;0;4;1;0;2
questionnaire;5;0;0;2;0
similaire;2;0;0;4;1
sources;0;0;0;7;0
symétrique;2;1;4;0;0
taille;0;4;0;0;3
ward;0;0;0;0;7
brutes;1;3;2;0;0
cadre;2;0;0;4;0
configuration;0;0;0;6;0
contraire;0;0;0;3;3
covariance;0;0;0;6;0
décomposer;0;0;2;2;2
déterminer;0;1;0;1;4
dilatation;3;0;1;2;0
domaines;0;4;0;2;0
effectue;3;0;2;1;0
entendu;0;1;1;4;0
existe;0;2;0;1;3
hypothèse;0;0;0;0;6
jouer;2;0;3;0;1
mal;0;4;1;0;1
revanche;1;1;1;1;2
saut;0;0;0;0;6
schéma;0;3;0;1;2
statut;6;0;0;0;0
supérieure;1;2;1;0;2
unité;0;6;0;0;0
accorder;1;3;0;1;0
attention;3;1;0;0;1
augmente;4;0;0;0;1
constant;2;1;0;1;1
dispersion;0;5;0;0;0
hauteur;0;0;0;0;5
homogènes;0;1;0;0;4
identiques;1;0;0;2;2
impossible;0;5;0;0;0
issue;3;0;1;1;0
loin;1;1;3;0;0
milieu;1;1;3;0;0
minimiser;0;0;0;0;5
naturel;1;0;0;0;4
notamment;1;1;0;0;3
numériques;3;0;2;0;0
observée;0;0;4;0;1
ratio;0;0;0;3;2
richesse;1;0;1;3;0
sélectionner;0;0;5;0;0
semblent;1;0;0;0;4
signe;0;0;2;1;2
tendance;1;1;0;2;1
théorique;0;0;5;0;0
troisième;1;2;1;0;1
typologie;0;1;0;4;0
unidimensionnel;0;0;0;5;0
varie;2;0;0;2;1
ajoute;0;0;2;2;0
allure;4;0;0;0;0
analogie;4;0;0;0;0
animal;0;1;0;0;3
appartenance;0;0;0;2;2
aspect;3;0;1;0;0
automatique;0;2;0;1;1
colorier;2;0;1;1;0
concernant;0;0;4;0;0
condition;0;0;2;2;0
confondu;3;0;0;1;0
consolider;0;0;0;0;4
continue;0;0;0;0;4
cramer;0;0;4;0;0
déforme;0;4;0;0;0
description;0;3;0;0;1
devons;1;3;0;0;0
doute;0;0;2;0;2
évolue;1;1;0;2;0
examiner;2;0;2;0;0
formule;2;0;1;1;0
gènes;0;2;0;2;0
identique;1;1;0;2;0
indicatrice;4;0;0;0;0
initialisation;0;0;0;0;4
intersection;2;0;2;0;0
introduire;3;0;1;0;0
juxtapose;0;0;0;4;0
limiter;1;0;3;0;0
norme;0;2;0;2;0
ordinateur;3;0;0;0;1
ordre;1;2;1;0;0
organise;3;0;0;0;1
package;0;3;0;1;0
photographie;0;4;0;0;0
principe;0;0;1;0;3
proposition;0;4;0;0;0
référentiel;0;0;0;4;0
remarque;1;1;1;1;0
restitue;0;4;0;0;0
rv;0;0;0;4;0
sorties;0;0;0;4;0
souhaite;2;0;0;1;1
surpris;0;0;0;4;0
tdc;4;0;0;0;0
terminer;2;0;0;1;1
usuelle;0;0;2;1;1
valider;3;1;0;0;0
aborde;1;0;1;0;1
adaptée;2;0;0;1;0
agrégation;0;0;0;0;3
aléatoire;0;0;0;0;3
août;0;0;0;0;3
appréhende;0;0;3;0;0
appris;0;0;0;3;0
approche;1;0;2;0;0
attendu;2;1;0;0;0
bilan;1;2;0;0;0
caractères;0;0;0;0;3
catégories;0;0;1;0;2
chi²;0;0;2;0;1
compléter;0;2;1;0;0
complexes;1;0;0;2;0
comporte;0;0;0;1;2
comportement;0;0;0;3;0
conjointe;0;0;2;0;1
contrainte;0;0;1;0;2
croissante;0;0;0;0;3
dimensionnalité;0;0;0;3;0
dispose;0;0;3;0;0
équivalence;0;0;3;0;0
exclusive;0;0;3;0;0
exercices;0;0;1;1;1
faisons;3;0;0;0;0
fisher;0;1;0;0;2
fréquences;0;0;0;3;0
gérer;0;1;0;1;1
haut;1;0;0;0;2
horizontal;1;2;0;0;0
illustratives;1;1;0;0;1
impression;0;1;0;0;2
indispensable;0;2;1;0;0
inerte;0;0;0;0;3
initial;2;1;0;0;0
introduit;3;0;0;0;0
intuition;0;2;1;0;0
issus;0;2;0;1;0
itérer;0;0;0;0;3
jurys;0;0;0;3;0
lieu;1;0;2;0;0
limite;1;0;1;0;1
linéaire;0;3;0;0;0
manière;1;0;1;1;0
marié;3;0;0;0;0
marque;0;0;3;0;0
masse;0;0;3;0;0
mathématiques;0;1;0;2;0
mettant;0;0;2;1;0
modifie;0;1;0;1;1
objets;0;0;0;0;3
opinions;0;0;0;3;0
oubliez;0;0;0;1;2
ouvriers;3;0;0;0;0
parfums;0;0;3;0;0
parler;0;2;0;0;1
partant;1;0;0;2;0
